2025-10-16 00:16:39 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://img2.quasarzone.com/editor/2025/10/16/2062c3f165d8355543bd64eb95c84d2b.jpeg
2025-10-16 00:16:39 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://img2.quasarzone.com/editor/2025/10/16/2062c3f165d8355543bd64eb95c84d2b.jpeg
2025-10-16 00:16:40 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://img2.quasarzone.com/editor/2025/10/16/2062c3f165d8355543bd64eb95c84d2b.jpeg
2025-10-16 00:16:40 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: img2.quasarzone.com
2025-10-16 00:16:40 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: img2.quasarzone.com
2025-10-16 00:16:40 | INFO     | BaseScraper:_process_detail_pages:664 | Processing post_link: https://quasarzone.com/bbs/qb_saleinfo/views/1864836
2025-10-16 00:16:40 | INFO     | BaseScraper:_process_detail_pages:667 | Processing deal: [네이버] 네이버페이 적립/보험 매일 100% 당첨보장/12원 종합 차트 (25.10.16...
2025-10-16 00:16:44 | INFO     | BaseScraper:_process_detail_pages:678 | 콘텐츠 요소를 찾았습니다 (selector: 'div.view-content')
2025-10-16 00:16:49 | INFO     | BaseScraper:_process_detail_pages:704 |   [AI Multi-Deal Analysis] Found 19 deals.
2025-10-16 00:16:49 | INFO     | BaseScraper:_process_detail_pages:720 |   [Image Debug] Post Representative Image: https://img2.quasarzone.com/editor/2024/03/17/e643e13d94c8885dfdc9b728294de9c5.jpg
2025-10-16 00:16:49 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 1] AI Product: 네이버페이 적립/보험 매일 100% 당첨보장/12원 종합 차트
2025-10-16 00:16:49 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://campaign2.naver.com/npay/v2/click-point/?eventId=pointdraw_benefit_1016
2025-10-16 00:16:49 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=pointdraw_benefit_1016
2025-10-16 00:16:50 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://campaign2.naver.com/npay/v2/click-point/?eventId=pointdraw_benefit_1016
2025-10-16 00:16:50 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: campaign2.naver.com
2025-10-16 00:16:50 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: campaign2.naver.com
2025-10-16 00:16:51 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 2] AI Product: 네이버페이 보험 클릭 이벤트
2025-10-16 00:16:51 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://campaign2.naver.com/npay/v2/click-point/?eventId=pointdraw_carinsur_1016
2025-10-16 00:16:51 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=pointdraw_carinsur_1016
2025-10-16 00:16:52 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=0&url=https%3A%2F%2Fcampaign2.naver.com%2Fnpay%2Fv2%2Fclick-point%2F%3FeventId%3Dpointdraw_carinsur_1016
2025-10-16 00:16:52 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:52 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:52 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 3] AI Product: 네이버페이 광고 이벤트 1
2025-10-16 00:16:52 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://ofw.adison.co/u/naverpay/ads/856542
2025-10-16 00:16:52 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://ofw.adison.co/u/naverpay/ads/856542
2025-10-16 00:16:52 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=262144&url=https%3A%2F%2Fpoint.pay.naver.com%2Fbridge%2Feventbenefit%3FadId%3D856542%26fromPage%3DRELOAD_FROM_AUTH
